,ID,H,LAT,LON,Error_H(km),Error_LAT(km),Error_LON(km)
0,0.0,52.118130467058265,0.01447202506698639,-147.765480279761,2.118130467058265,1.4365299197035029,0.43884028745330367
1,1.0,51.40513833200635,0.060354209266492154,-147.28502641915364,1.4051383320063522,0.05777869270083519,1.8301721605107155
2,2.0,52.0447009197905,0.027960939254641836,-146.74410735649,2.0447009197905004,0.2814505286659932,0.8479300059077096
3,3.0,53.14464842813447,0.20632347446290564,-146.21725509644884,3.1446484281344667,0.19412716476357958,6.256509986918017
4,4.0,54.62399369281698,0.03558016690624394,-145.71285379060132,4.623993692816981,0.5740146738591515,1.079031162649458
5,5.0,52.47003218822985,0.01877510137329924,-145.24089726305974,2.470032188229851,2.325960571137381,0.5694755949436039
6,6.0,57.85372219819828,0.027586135432027526,-144.3813275901535,7.853722198198277,7.67579244413538,0.8366859916559618
7,7.0,51.225929184092365,0.009627805202111872,-144.12195438830904,1.2259291840923652,0.5223921325878662,0.29215957441205664
8,8.0,50.38112712298181,-0.00591489695093128,-143.58459310160006,0.38112712298180895,0.291046598225274,0.1791169061624293
9,9.0,50.58287725312316,0.003123786738923995,-143.05206083508767,0.5828772531231579,0.20616345883925843,0.09499659008852078
10,10.0,50.18953273219559,-0.0007843152043780132,-142.52479898641806,0.18953273219558753,0.2810667232312111,0.023479831281101416
11,11.0,50.80732591023497,0.008154196865778562,-141.98295757997155,0.8073259102349724,0.08610072852363558,0.24756580249274623
12,12.0,50.80732591023497,0.008154196865778562,-141.98295757997155,0.8073259102349724,0.08610072852363558,0.24756580249274623
13,13.0,37.45130549283706,-0.9788579852029932,-141.16545025678002,12.548694507162942,7.250836369801871,29.6818898205822
14,14.0,37.45130549283706,-0.9788579852029932,-141.16545025678002,12.548694507162942,7.250836369801871,29.6818898205822
15,15.0,37.45130549283706,-0.9788579852029932,-141.16545025678002,12.548694507162942,7.250836369801871,29.6818898205822
16,16.0,37.45130549283706,-0.9788579852029932,-141.16545025678002,12.548694507162942,7.250836369801871,29.6818898205822
17,17.0,37.45130549283706,-0.9788579852029932,-141.16545025678002,12.548694507162942,7.250836369801871,29.6818898205822
18,18.0,33.6348950849366,0.6941886196923114,-137.381565962349,16.365104915063398,27.17290707353729,21.050640272343806
19,19.0,33.6348950849366,0.6941886196923114,-137.381565962349,16.365104915063398,27.17290707353729,21.050640272343806
20,20.0,33.6348950849366,0.6941886196923114,-137.381565962349,16.365104915063398,27.17290707353729,21.050640272343806
21,21.0,50.631584335020975,0.008382232389183427,-136.69184010662462,0.6315843350209747,0.10210195409434343,0.25478383708234775
22,22.0,50.70528085449541,0.0058369787217281205,-136.1189862062303,0.7052808544954132,1.2054985425184896,0.17763354155617303
23,23.0,33.64426219197879,0.3418790117834574,-135.56583526912962,16.35573780802121,1.9156391787832852,10.367584190681042
24,24.0,50.14751053642872,0.011801229185721906,-135.08059754371928,0.1475105364287188,0.5663933751825718,0.35855024509410105
25,25.0,48.94344342391328,-0.012061596041268271,-134.56879588478537,1.0565565760867202,0.022685359810985385,0.36502024302373237
26,26.0,50.28292826608941,-0.0006135970905263877,-134.03445352751885,0.2829282660894066,0.16245651543411477,0.017848235834666493
27,27.0,31.19932492793915,-1.125227326872957,-133.70382233050398,18.80067507206085,5.874946903214351,34.119874132486636
28,28.0,52.70841970973662,-0.9292883369852912,-133.0630801849103,2.708419709736617,2.508747357740866,28.178317157018643
29,29.0,52.70841970973662,-0.9292883369852912,-133.0630801849103,2.708419709736617,2.508747357740866,28.178317157018643
30,30.0,52.70841970973662,-0.9292883369852912,-133.0630801849103,2.708419709736617,2.508747357740866,28.178317157018643
31,31.0,52.70841970973662,-0.9292883369852912,-133.0630801849103,2.708419709736617,2.508747357740866,28.178317157018643
32,32.0,52.70841970973662,-0.9292883369852912,-133.0630801849103,2.708419709736617,2.508747357740866,28.178317157018643
33,33.0,52.70841970973662,-0.9292883369852912,-133.0630801849103,2.708419709736617,2.508747357740866,28.178317157018643
34,34.0,51.01653311576618,0.014536743516119582,-129.80555437979345,1.0165331157661797,0.10923622483762979,0.4417731148788498
35,35.0,65.2215677395128,-0.1564252073096325,-129.20632698354703,15.221567739512807,1.998097028407807,4.742335705856218
36,36.0,51.827630111716644,0.003073581553779681,-128.7727365950041,1.827630111716644,0.9172690694972984,0.09423228442688421
37,37.0,51.471297723394976,-0.006581454520718218,-128.2336485537792,1.4712977233949758,0.633562552852154,0.19851043446749606
38,38.0,50.48638114310978,-0.002079195577861404,-127.68461114817012,0.48638114310978153,0.04818829683862689,0.06195653549256395
39,39.0,52.137197962865784,0.013583268512355185,-127.15802229861222,2.137197962865784,0.14349914913065648,0.41301217497115544
40,40.0,51.78723530671961,0.0031575199960111,-126.62275506086974,1.7872353067196087,0.0243478046163504,0.09689887262642134
41,41.0,50.33215274455729,0.0036922119647481897,-126.08841924516476,0.33215274455729116,0.1639205981759481,0.11314284791383863
42,42.0,50.06253463111002,0.007866732173685276,-125.558603237367,0.06253463111001878,0.16646799606600007,0.23975861041255575
43,43.0,49.997444404998554,0.0018758091776997312,-125.03478338032387,0.00255559500144642,0.012838309923285905,0.05809375304119062
44,44.0,49.997444404998554,0.0018758091776997312,-125.03478338032387,0.00255559500144642,0.012838309923285905,0.05809375304119062
45,45.0,49.71914536716314,-0.007176015195004789,-123.98110119544921,0.2808546328368635,0.18816231605679137,0.2163272426893373
46,46.0,49.59552025089639,0.004155503105523043,-123.44656571111639,0.40447974910360784,0.042534900726396686,0.12731268092565506
47,47.0,50.01666910794432,-0.002965876045694003,-122.92113126295888,0.016669107944316863,0.17285107121155513,0.08860107122950744
48,48.0,50.15993709560729,-0.007848203170542571,-122.38955597299608,0.1599370956072903,0.11698666708682881,0.23661926417119666
49,49.0,49.95340501572663,0.004452395187475839,-121.8678941841343,0.04659498427336928,0.36170250742831966,0.13637609026571332
50,50.0,50.09778717795131,-0.011899072784501944,-121.3113096616065,0.09778717795131087,0.45255594295508056,0.3594248796474017
51,51.0,50.05241293165884,0.005188215905453919,-120.79354940482341,0.052412931658842865,0.08950225485018827,0.15874928644716021
52,52.0,50.07626828131046,0.00245354933119314,-120.26725523359072,0.07626828131046182,0.014744231559411129,0.07585535697306635
53,53.0,49.94389458512644,0.015929900467653257,-119.73923222676012,0.05610541487355647,0.06659695365800285,0.48453379827325577
54,54.0,50.99840298703514,-0.0020604756570302483,-119.19260410231043,0.9984029870351421,0.44575014884032743,0.060994681217774536
55,55.0,50.868789429525094,0.0003668759617941384,-118.67769459937305,0.8687894295250942,0.0037176237509927395,0.01264107587288801
56,56.0,50.23991218238714,0.009618920919697639,-118.1530232451831,0.23991218238713685,0.15720368337234553,0.2932244006218054
57,57.0,50.407772375334105,0.015391076743129476,-117.62378902580238,0.4077723753341047,0.17229805952438473,0.4682858277089482
58,58.0,50.50486196823227,0.015650759892332177,-117.11464443185959,0.5048619682322695,0.7966075110719839,0.47619061419189257
59,59.0,50.20830202727246,0.01989499994860328,-116.54354589028928,0.2083020272724596,0.45776462479930774,0.6048901927024131
